,  Β2 Δυτικού Τομέα Αθηνών, Άρτας, Έβρου, Α Αθηνών, Α Ανατολικής Αττικής, Α Θεσσαλονίκης, Α Πειραιώς, Αιτωλοακαρνανίας, Αργολίδος, Αρκαδίας, Αχαΐας, Β Δυτικής Αττικής, Β Θεσσαλονίκης, Β Πειραιώς, Β1 Βόρειου Τομέα Αθηνών, Β3 Νοτίου Τομέα Αθηνών, Βοιωτίας, Γρεβενών, Δράμας, Δωδεκανήσου, Ευβοίας, Ευρυτανίας, Ζακύνθου, Ηλείας, Ημαθίας, Ηρακλείου, Θεσπρωτίας, Ιωαννίνων, Κέρκυρας, Καβάλας, Καρδίτσας, Καστοριάς, Κεφαλληνίας, Κιλκίς, Κοζάνης, Κορινθίας, Κυκλάδων, Λάρισας, Λέσβου, Λακωνίας, Λασιθίου, Λευκάδας, Μαγνησίας, Μεσσηνίας, Ξάνθης, Πέλλας, Πιερίας, Πρέβεζας, Ρεθύμνης, Ροδόπης, Σάμου, Σερρών, Τρικάλων, Φθιώτιδας, Φλώρινας, Φωκίδας, Χίου, Χαλκιδικής, Χανίων,Επικρατείας
Coalition of the Left,4.998,1.0,0.455,3.988,3.988,5.061,1.993,2.991,1.0,1.0,4.0,1.981,2.618,2.947,4.734,6.002,1.0,0.008,1.0,1.989,2.032,0.008,0.008,1.0,0.862,3.014,0.008,1.857,1.0,0.596,1.0,0.008,0.008,1.0,1.659,1.143,0.937,3.0,1.0,1.0,1.0,0.008,1.956,1.95,1.0,0.92,0.52,1.0,1.0,1.0,0.008,1.743,0.991,1.0,1.0,0.008,0.949,1.0,1.021,4.907
Communist Party of Greece,2.0,0.0,1.0,1.196,0.0,1.944,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.095,1.0,0.0,0.0,0.027,1.0,0.0,0.0,0.0,0.0,0.412,1.0,0.998,0.0,0.644,0.0,0.0,0.0,0.0,0.007,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0,1.014
European Realistic Disobedience Front,0.0,0.0,1.0,0.0,0.0,0.452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.112,0.0,0.0,0.0,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.835,0.0,0.0,0.991,0.0,0.0,0.0,0.0,0.0,0.091,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Greek Solution,0.018,0.0,0.0,1.0,0.0,1.832,0.101,1.0,0.0,0.0,0.474,0.0,0.0,0.0,1.0,1.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.79,0.0,0.0,0.0,0.0,0.966,1.0
Movement for Change,1.649,0.0,0.544,1.527,1.148,1.962,1.0,0.007,1.0,1.0,1.444,1.0,1.002,1.0,1.999,2.0,1.0,0.0,1.0,0.0,0.039,0.0,0.0,0.0,0.986,1.637,0.0,0.0,0.973,0.531,0.0,0.0,0.0,1.0,0.0,0.857,0.005,0.074,0.356,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.211,0.0,0.0,1.0,0.0,0.003,0.0,0.032,0.0,0.0,0.051,1.0,1.0,1.999
New Democracy,3.335,1.0,1.001,5.289,6.864,5.749,1.906,2.002,1.0,1.0,3.082,1.019,4.594,4.053,6.267,6.885,1.0,1.0,1.0,1.569,3.929,1.0,1.0,1.0,2.057,1.349,1.0,1.143,1.0,1.873,1.0,1.0,1.0,1.0,1.094,1.0,1.06,3.935,1.0,1.0,1.0,1.0,2.044,1.701,1.0,1.08,1.269,1.0,1.0,1.0,1.0,2.254,1.009,1.0,1.0,1.0,1.0,1.0,1.013,5.077
