,Polling Firm,Commissioner,Date,Sample Size,Coalition of the Left,New Democracy,People’s Association / Golden Dawn,Movement for Change,Communist Party of Greece,The River,Independent Greeks,Union of Centrists,Popular Unity,Course of Freedom,Greek Solution,European Realistic Disobedience Front,National Party - Greeks,Others
1,Metron Analysis,Mega TV,2023-05-11,2105,28.00,36.2,,10.3,7.4,,,,,,3.3,4.4,0
1,Κάπα Research,Alpha TV,2023-05-09,1202,29.9,36.6,,9.8,7.6,,,,,,4.4,4.1,0
1,Marc,ANT1,2023-05-09,1286,30.1,37.1,,10.3,6.9,,,,,,3.7,3.8,0
1,Pulse RC,ΣΚΑΪ,2023-05-07,1000,29.5,36.5,,10.5,7.00,,,,,,3.5,4.5,0
1,Alco,Alpha TV,2023-05-06,1000,29.27,36.78,,10.25,7.17,,,,,,4.2,3.6,0
1,GPO,Τα Νέα,2023-05-03,1000,30.4,36.9,,10.1,7,,,,,,3.5,3.6,0
1,Metron Analysis,Mega TV,2023-05-02,1305,27.7,35.4,,10.7,6.6,,,,,,3.2,4.5,0
1,Prorata,Attica TV,2023-04-30,1147,30.5,35,,10.5,6.5,,,,,,3.5,4.0,4.0
1,Interview,Politic.gr,2023-04-30,1705,28.6,35.6,,10.8,6.9,,,,,,4.2,4.4,3.3
1,MRB,Open TV,2023-04-26,1003,28.6,34.1,,9.5,6.3,,,,,,3.4,3.7,4.6
1,Pulse RC,ΣΚΑΪ,2023-04-23,1003,28.5,35.5,,11.0,7.0,,,,,,4.5,5.5,3.5
1,Opinion Poll,The TOC,2023-04-21,1003,29.5,36.4,,11.2,5.9,,,,,,4.8,3.7,3.6
1,Metron Analysis,Το Βήμα,2023-04-20,1007,26.9,33.8,,10.3,7.3,,,,,,4.9,5.4,4.2
1,GPO,Παραπολιτικά,2023-04-05,1000,30.2,35.6,,10.8,7.1,,,,,,4.1,3.6,3.1
1,Pulse RC,ΣΚΑΪ,2023-04-03,1107,29.5,35.0,,11.5,6.5,,,,,,4.5,4.5,4.0
1,Rass,Action 24,2023-03-31,1001,26.9,32.9,,13.3,7.9,,,,,,5.6,5.1,4.1
1,Interview,Politic.gr,2023-04-01,1415,29.4,35.0,,10.3,7.5,,,,,,4.5,4.5,2.2
1,Prorata,Η Εφημερίδα των Συντακτών,2023-04-01,1000,30.5,34.0,,10.5,6.5,,,,,,4.0,3.5,3.5
1,Marc,Πρώτο ΘΕΜΑ,2023-03-30,1213,29.2,35.1,,10.7,6.5,,,,,,4.4,4.8,4.2
1,Palmos Analysis,Tvxs,2023-03-30,1083,26.0,31.0,,11.0,7.0,,,,,,5.0,5.0,5.0
1,MRB,Open TV,2023-03-28,1000,29.4,33.3,,9.5,6.1,,,,,,5.5,4.5,4.8
1,Metron Analysis,Mega TV,2023-03-28,1100,26.7,32.5,,11.7,7.1,,,,,,5.2,4.7,4.9
1,GPO,Star TV,2023-03-20,1004,30.7,35.6,,10.8,7.7,,,,,,4.0,3.7,2.4
1,Alco,Alpha TV,2023-03-17,1004,28.8,32.9,,10.8,7.0,,,,,,4.4,3.9,3.9
1,Pulse RC,ΣΚΑΪ,2023-03-15,1004,30.5,34.5,,11.5,7.0,,,,,,4.5,3.5,3.5
1,Metron Analysis,Mega TV,2023-03-13,1004,26.3,33.7,,11.8,7.6,,,,,,5.1,4.5,4.6
1,MRB,Open TV,2023-03-13,1004,29.7,33.2,,10.9,6.2,,,,,,5.4,4.7,4.8
